"﻿SIGLA";"NOMBRE PROYECTO";"TIPO INNOVACION";"año";"conv";"SEMESTRE";"FRENTE";"multi";"CODIGO CURSO";"CURSO";"PROG CURSO";"DEPTO CURSO";"FAC CURSO";"CRN";"SECC";"PERIOD";"SUB PER";"FASE ACOMPAÑAMIENTO PED";"NOMBRE PROFESOR";"CORREO PROFESOR";
"CTE-1155";"Proyecto Cte-1156";"CURSO BLENDED";"2018";"2017";"201820";"1IP";"SI";"COD1157";"Curso1154";"LENGUAS Y CULTURA";"LENGUAJES Y ESTUDIOS SOCIOCULT";"CIENCIAS SOCIALES";"CRN-18389";"18";"201820";"8B";"IMPLEMENTACION";"Nombre profesor1098";"Login profesor1097";
"CTE-1173";"Proyecto Cte-1174";"CURSO BLENDED";"2018";"2017";"201810";"1IP";"SI";"COD1175";"Curso1172";"LENGUAS Y CULTURA";"LENGUAS Y CULTURA";"CIENCIAS SOCIALES";"CRN-16775";"10";"201810";"8B";"IMPLEMENTACION";"Nombre profesor377";"Login profesor376";
"CTE-1173";"Proyecto Cte-1174";"CURSO BLENDED";"2018";"2017";"201810";"1IP";"SI";"COD1175";"Curso1172";"LENGUAS Y CULTURA";"LENGUAS Y CULTURA";"CIENCIAS SOCIALES";"CRN-18013";"1";"201810";"8A";"IMPLEMENTACION";"Nombre profesor377";"Login profesor376";
"CTE-1173";"Proyecto Cte-1174";"CURSO BLENDED";"2018";"2017";"201810";"1IP";"SI";"COD1175";"Curso1172";"LENGUAS Y CULTURA";"LENGUAS Y CULTURA";"CIENCIAS SOCIALES";"CRN-16776";"11";"201810";"8B";"IMPLEMENTACION";"Nombre profesor17231";"Login profesor17230";
"CTE-1173";"Proyecto Cte-1174";"CURSO BLENDED";"2018";"2017";"201810";"1IP";"SI";"COD1175";"Curso1172";"LENGUAS Y CULTURA";"LENGUAS Y CULTURA";"CIENCIAS SOCIALES";"CRN-16774";"12";"201810";"8B";"IMPLEMENTACION";"Nombre profesor1138";"Login profesor1137";
"CTE-1173";"Proyecto Cte-1174";"CURSO BLENDED";"2018";"2017";"201810";"1IP";"SI";"COD1175";"Curso1172";"LENGUAS Y CULTURA";"LENGUAS Y CULTURA";"CIENCIAS SOCIALES";"CRN-18014";"2";"201810";"8A";"IMPLEMENTACION";"Nombre profesor1163";"Login profesor1162";
"CTE-1173";"Proyecto Cte-1174";"CURSO BLENDED";"2018";"2017";"201810";"1IP";"SI";"COD1175";"Curso1172";"LENGUAS Y CULTURA";"LENGUAS Y CULTURA";"CIENCIAS SOCIALES";"CRN-18015";"3";"201810";"8A";"IMPLEMENTACION";"Nombre profesor1187";"Login profesor1186";
"CTE-1173";"Proyecto Cte-1174";"CURSO BLENDED";"2018";"2017";"201810";"1IP";"SI";"COD1175";"Curso1172";"LENGUAS Y CULTURA";"LENGUAS Y CULTURA";"CIENCIAS SOCIALES";"CRN-18016";"4";"201810";"8A";"IMPLEMENTACION";"Nombre profesor1159";"Login profesor1158";
"CTE-1173";"Proyecto Cte-1174";"CURSO BLENDED";"2018";"2017";"201810";"1IP";"SI";"COD1175";"Curso1172";"LENGUAS Y CULTURA";"LENGUAS Y CULTURA";"CIENCIAS SOCIALES";"CRN-18017";"5";"201810";"8A";"IMPLEMENTACION";"Nombre profesor1138";"Login profesor1137";
"CTE-1173";"Proyecto Cte-1174";"CURSO BLENDED";"2018";"2017";"201810";"1IP";"SI";"COD1175";"Curso1172";"LENGUAS Y CULTURA";"LENGUAS Y CULTURA";"CIENCIAS SOCIALES";"CRN-18018";"7";"201810";"8A";"IMPLEMENTACION";"Nombre profesor383";"Login profesor382";
"CTE-1173";"Proyecto Cte-1174";"CURSO BLENDED";"2018";"2017";"201810";"1IP";"SI";"COD1175";"Curso1172";"LENGUAS Y CULTURA";"LENGUAS Y CULTURA";"CIENCIAS SOCIALES";"CRN-18019";"8";"201810";"8A";"IMPLEMENTACION";"Nombre profesor1124";"Login profesor1123";
"CTE-1173";"Proyecto Cte-1174";"CURSO BLENDED";"2018";"2017";"201810";"1IP";"SI";"COD1175";"Curso1172";"LENGUAS Y CULTURA";"LENGUAS Y CULTURA";"CIENCIAS SOCIALES";"CRN-16773";"13";"201810";"8B";"IMPLEMENTACION";"Nombre profesor1159";"Login profesor1158";
"CTE-1173";"Proyecto Cte-1174";"CURSO BLENDED";"2018";"2017";"201810";"1IP";"SI";"COD1175";"Curso1172";"LENGUAS Y CULTURA";"LENGUAS Y CULTURA";"CIENCIAS SOCIALES";"CRN-16770";"14";"201810";"8B";"IMPLEMENTACION";"Nombre profesor1124";"Login profesor1123";
"CTE-1173";"Proyecto Cte-1174";"CURSO BLENDED";"2018";"2017";"201810";"1IP";"SI";"COD1175";"Curso1172";"LENGUAS Y CULTURA";"LENGUAS Y CULTURA";"CIENCIAS SOCIALES";"CRN-16769";"15";"201810";"8B";"IMPLEMENTACION";"Nombre profesor383";"Login profesor382";
"CTE-1173";"Proyecto Cte-1174";"CURSO BLENDED";"2018";"2017";"201810";"1IP";"SI";"COD1175";"Curso1172";"LENGUAS Y CULTURA";"LENGUAS Y CULTURA";"CIENCIAS SOCIALES";"CRN-16771";"16";"201810";"8B";"IMPLEMENTACION";"Nombre profesor1124";"Login profesor1123";
"CTE-1173";"Proyecto Cte-1174";"CURSO BLENDED";"2018";"2017";"201810";"1IP";"SI";"COD1175";"Curso1172";"LENGUAS Y CULTURA";"LENGUAS Y CULTURA";"CIENCIAS SOCIALES";"CRN-16772";"17";"201810";"8B";"IMPLEMENTACION";"Nombre profesor1163";"Login profesor1162";
"CTE-1173";"Proyecto Cte-1174";"CURSO BLENDED";"2018";"2017";"201810";"1IP";"SI";"COD1175";"Curso1172";"LENGUAS Y CULTURA";"LENGUAS Y CULTURA";"CIENCIAS SOCIALES";"CRN-18150";"1";"201819";"1";"IMPLEMENTACION";"Nombre profesor1134";"Login profesor1133";
"CTE-1173";"Proyecto Cte-1174";"CURSO BLENDED";"2018";"2017";"201810";"1IP";"SI";"COD1175";"Curso1172";"LENGUAS Y CULTURA";"LENGUAS Y CULTURA";"CIENCIAS SOCIALES";"CRN-18151";"3";"201819";"1";"IMPLEMENTACION";"Nombre profesor1159";"Login profesor1158";
"CTE-1173";"Proyecto Cte-1174";"CURSO BLENDED";"2018";"2017";"201820";"1IP";"SI";"COD1175";"Curso1172";"LENGUAS Y CULTURA";"LENGUAS Y CULTURA";"CIENCIAS SOCIALES";"CRN-18393";"1";"201820";"8A";"IMPLEMENTACION";"Nombre profesor1159";"Login profesor1158";
"CTE-1173";"Proyecto Cte-1174";"CURSO BLENDED";"2018";"2017";"201820";"1IP";"SI";"COD1175";"Curso1172";"LENGUAS Y CULTURA";"LENGUAS Y CULTURA";"CIENCIAS SOCIALES";"CRN-18394";"2";"201820";"8A";"IMPLEMENTACION";"Nombre profesor1142";"Login profesor1141";
"CTE-1173";"Proyecto Cte-1174";"CURSO BLENDED";"2018";"2017";"201820";"1IP";"SI";"COD1175";"Curso1172";"LENGUAS Y CULTURA";"LENGUAS Y CULTURA";"CIENCIAS SOCIALES";"CRN-18395";"3";"201820";"8A";"IMPLEMENTACION";"Nombre profesor17231";"Login profesor17230";
"CTE-1173";"Proyecto Cte-1174";"CURSO BLENDED";"2018";"2017";"201820";"1IP";"SI";"COD1175";"Curso1172";"LENGUAS Y CULTURA";"LENGUAS Y CULTURA";"CIENCIAS SOCIALES";"CRN-18396";"4";"201820";"8A";"IMPLEMENTACION";"Nombre profesor17207";"Login estudiante2574";
